symbol,direction,strategy,confidence,entry_date,entry_price,exit_date,exit_price,stop_loss,target,pnl_pct,exit_reason
RELIANCE,SELL,Large Cap Trend,0.75,2025-04-04 00:00:00+05:30,1194.39,2025-04-07 00:00:00+05:30,1139.28,1227.45,1139.28,4.614,target
RELIANCE,SELL,Large Cap Trend,0.75,2025-04-08 00:00:00+05:30,1172.08,2025-04-15 00:00:00+05:30,1215.64,1215.64,1099.47,-3.717,stop_loss
RELIANCE,SELL,Large Cap Trend,0.75,2025-07-21 00:00:00+05:30,1416.37,2025-07-28 00:00:00+05:30,1375.72,1449.44,1361.25,2.87,max_hold
RELIANCE,SELL,Large Cap Trend,0.75,2025-09-04 00:00:00+05:30,1353.04,2025-09-11 00:00:00+05:30,1376.93,1388.43,1294.07,-1.766,max_hold
RELIANCE,BUY,Large Cap Trend,0.75,2025-09-19 00:00:00+05:30,1400.92,2025-09-23 00:00:00+05:30,1378.57,1378.57,1438.18,-1.596,stop_loss
RELIANCE,SELL,Large Cap Trend,0.75,2025-09-29 00:00:00+05:30,1366.48,2025-10-06 00:00:00+05:30,1368.67,1388.67,1329.51,-0.16,max_hold
RELIANCE,BUY,Large Cap Trend,0.75,2025-10-17 00:00:00+05:30,1410.28,2025-10-20 00:00:00+05:30,1454.63,1383.67,1454.63,3.145,target
RELIANCE,SELL,Large Cap Trend,0.75,2026-01-06 00:00:00+05:30,1500.66,2026-01-13 00:00:00+05:30,1440.44,1536.79,1440.44,4.013,target
RELIANCE,SELL,Large Cap Trend,0.75,2026-02-26 00:00:00+05:30,1400.33,2026-03-02 00:00:00+05:30,1337.92,1437.77,1337.92,4.457,target
RELIANCE,SELL,Large Cap Trend,0.75,2026-03-05 00:00:00+05:30,1383.01,2026-03-12 00:00:00+05:30,1385.79,1431.32,1302.49,-0.202,max_hold
RELIANCE,SELL,Large Cap Trend,0.75,2026-04-13 00:00:00+05:30,1309.05,2026-04-20 00:00:00+05:30,1363.11,1363.11,1218.95,-4.13,stop_loss
RELIANCE,SELL,Large Cap Trend,0.75,2026-05-12 00:00:00+05:30,1357.72,2026-05-19 00:00:00+05:30,1316.61,1407.49,1274.78,3.028,max_hold
RELIANCE,SELL,Large Cap Trend,0.75,2026-05-29 00:00:00+05:30,1315.12,2026-06-05 00:00:00+05:30,1291.0,1352.31,1253.14,1.834,max_hold
TCS,SELL,Large Cap Trend,0.75,2025-05-30 00:00:00+05:30,3302.92,2025-06-06 00:00:00+05:30,3256.08,3387.75,3161.54,1.418,max_hold
TCS,SELL,Large Cap Trend,0.75,2025-06-23 00:00:00+05:30,3265.12,2025-06-30 00:00:00+05:30,3330.93,3338.71,3142.48,-2.016,max_hold
TCS,SELL,Large Cap Trend,0.75,2025-07-02 00:00:00+05:30,3293.7,2025-07-09 00:00:00+05:30,3255.69,3373.48,3160.73,1.154,max_hold
TCS,SELL,Large Cap Trend,0.75,2025-07-10 00:00:00+05:30,3253.96,2025-07-11 00:00:00+05:30,3142.78,3320.67,3142.78,3.417,target
TCS,SELL,Large Cap Trend,0.75,2025-10-08 00:00:00+05:30,2922.48,2025-10-15 00:00:00+05:30,2877.76,3002.07,2789.82,1.53,max_hold
TCS,SELL,Large Cap Trend,0.75,2026-01-20 00:00:00+05:30,3060.8,2026-01-27 00:00:00+05:30,3115.75,3152.31,2908.28,-1.795,max_hold
TCS,BUY,Large Cap Trend,0.75,2026-02-03 00:00:00+05:30,3182.15,2026-02-04 00:00:00+05:30,3084.67,3084.67,3344.63,-3.063,stop_loss
TCS,SELL,Large Cap Trend,0.75,2026-04-27 00:00:00+05:30,2414.86,2026-05-04 00:00:00+05:30,2398.77,2514.55,2248.7,0.666,max_hold
TCS,SELL,Large Cap Trend,0.75,2026-05-07 00:00:00+05:30,2369.27,2026-05-14 00:00:00+05:30,2225.6,2455.48,2225.6,6.064,target
TCS,SELL,Large Cap Trend,0.75,2026-05-19 00:00:00+05:30,2295.97,2026-05-26 00:00:00+05:30,2276.2,2377.06,2160.82,0.861,max_hold
SBIN,BUY,Breakout,0.6533,2025-04-08 00:00:00+05:30,740.13,2025-04-15 00:00:00+05:30,735.22,713.23,784.97,-0.664,max_hold
SBIN,BUY,Breakout,0.7612,2025-04-17 00:00:00+05:30,767.91,2025-04-24 00:00:00+05:30,783.27,738.92,816.23,2.0,max_hold
SBIN,BUY,Breakout,0.6698,2025-05-30 00:00:00+05:30,797.92,2025-06-06 00:00:00+05:30,798.65,781.06,826.01,0.092,max_hold
SBIN,BUY,Breakout,0.6652,2025-06-30 00:00:00+05:30,805.82,2025-07-07 00:00:00+05:30,792.56,788.4,834.87,-1.646,max_hold
SBIN,BUY,Breakout,0.6602,2025-07-16 00:00:00+05:30,816.97,2025-07-22 00:00:00+05:30,801.43,801.43,842.87,-1.902,stop_loss
SBIN,SELL,Breakdown,0.6515,2025-08-01 00:00:00+05:30,779.94,2025-08-08 00:00:00+05:30,790.06,797.73,750.29,-1.297,max_hold
SBIN,BUY,Breakout,0.667,2025-09-16 00:00:00+05:30,816.83,2025-09-17 00:00:00+05:30,838.12,804.05,838.12,2.607,target
SBIN,BUY,Breakout,0.6582,2025-09-18 00:00:00+05:30,839.22,2025-09-24 00:00:00+05:30,863.73,824.52,863.73,2.92,target
SBIN,BUY,Breakout,0.757,2025-09-29 00:00:00+05:30,855.33,2025-10-06 00:00:00+05:30,858.57,835.16,888.95,0.379,max_hold
SBIN,BUY,Breakout,0.7108,2025-10-28 00:00:00+05:30,913.78,2025-11-04 00:00:00+05:30,940.64,893.5,947.57,2.94,max_hold
SBIN,BUY,Breakout,0.7013,2025-11-06 00:00:00+05:30,943.74,2025-11-13 00:00:00+05:30,937.11,921.88,980.16,-0.703,max_hold
SBIN,BUY,Breakout,0.6624,2026-01-05 00:00:00+05:30,987.75,2026-01-12 00:00:00+05:30,997.18,970.87,1015.86,0.955,max_hold
SBIN,BUY,Breakout,0.6559,2026-01-13 00:00:00+05:30,1010.24,2026-01-20 00:00:00+05:30,1018.05,988.68,1046.18,0.773,max_hold
SBIN,BUY,Breakout,0.6546,2026-01-22 00:00:00+05:30,1029.79,2026-01-29 00:00:00+05:30,1047.32,1006.36,1068.84,1.703,max_hold
SBIN,BUY,Breakout,0.6652,2026-02-03 00:00:00+05:30,1045.36,2026-02-09 00:00:00+05:30,1108.93,1007.22,1108.93,6.081,target
SBIN,BUY,Breakout,0.7303,2026-02-11 00:00:00+05:30,1161.96,2026-02-18 00:00:00+05:30,1197.32,1111.0,1246.88,3.043,max_hold
SBIN,SELL,Breakdown,0.681,2026-03-24 00:00:00+05:30,1012.55,2026-04-01 00:00:00+05:30,999.78,1063.92,926.93,1.261,max_hold
SBIN,SELL,Breakdown,0.6565,2026-04-08 00:00:00+05:30,1042.66,2026-04-15 00:00:00+05:30,1052.53,1096.77,952.47,-0.947,max_hold
SBIN,SELL,Breakdown,0.6572,2026-04-20 00:00:00+05:30,1088.23,2026-04-27 00:00:00+05:30,1092.16,1140.48,1001.16,-0.361,max_hold
